行番号,ID,事件番号,事件名,裁判年月日,法廷名,裁判種別,結果,判例集等巻・号・頁,原審裁判所名,原審事件番号,原審裁判年月日,判示事項,裁判要旨,参照法条
1452,51051,昭和47(あ)285,業務上過失致死傷,昭和48年5月22日,最高裁判所第三小法廷,判決,その他,刑集　第27巻5号1077頁,東京高等裁判所,,昭和46年12月22日,交差点に進入しようとする自動車運転者に交通法規に違反して交差点に進入する車両を予想した安全確認をすべき業務上の注意義務がないとされた事例,自車と対面する信号機が黄色の燈火の点滅を表示し、交差道路上の信号機が赤色の燈火の点滅を表示している場合、当該交差点に進入しようとする自動車運転者としては、特段の事情がないかぎり、交差道路から交差点に接近してくる車両の運転者において右信号に従い一時停止および事故回避のための適切な行動をするものと信頼して運転すれば足り、それ以上に、あえて法規に違反して一時停止をすることなく高速度で交差点を突破しようとする車両のありうることまで予想した周到な安全確認をなすべき業務上の注意義務を負うものでなく、当時法規所定の徐行義務を懈怠していたとしても、この場合における注意義務違反の成否に影響を及ぼさない。,刑法（昭和43年法律61号による改正前のもの）211条，道路交通法（昭和46年法律98号による改正前のもの）4条，道路交通法（昭和46年法律98号による改正前のもの）42条，道路交通法施行令（昭和46年政令348号による改正前のもの）2条1項
1453,51052,昭和47(あ)295,業務上過失傷害、道路交通法違反,昭和49年10月14日,最高裁判所第二小法廷,決定,棄却,刑集　第28巻7号372頁,仙台高等裁判所,,昭和46年12月21日,道路交通法（昭和四六年法律第九八号による改正前のもの）一一九条一項一号、四条二項、道路交通法施行令（昭和四六年政令第三四八号による改正前のもの）二条一項のいわゆる信号無視の罪と業務上過失傷害罪とが観念的競合の関係にあるとされた事例,信号機の表示する信号に従つて一時停止することなく漫然交差点に進入し人身事故を発生させた本件の場合（第一審判決参照）、道路交通法（昭和四六年法律第九八号による改正前のもの）一一九条一項一号、四条二項、道路交通法施行令（昭和四六年政令第三四八号による改正前のもの）二条一項のいわゆる信号無視の罪と業務上過失傷害罪とは、観念的競合の関係にある。,道路交通法（昭和46年法律98号による改正前のもの）4条2項，道路交通法（昭和46年法律98号による改正前のもの）119条1項1号，刑法54条1項
1454,51053,昭和47(あ)725,道路交通法違反、道路運送車両法違反,昭和49年5月29日,最高裁判所大法廷,判決,棄却,刑集　第28巻4号168頁,東京高等裁判所,,昭和47年2月29日,道路交通法六四条、一一八条一項一号の無免許運転の所為と道路運送車両法（昭和四四年法律第六八号による改正前のもの）五八条、一〇八条一号の自動車検査証の有効期間が満了した自動車を運転した所為とが同一の日時場所において行われた場合の罪数,同一の日時場所において、無免許で、かつ、自動車検査証の有効期間が満了した自動車を運転する所為は、道路交通法一一八条一項一号、六四条の罪と昭和四四年法律第六八号による改正前の道路運送車両法一〇八条一号、五八条の罪との観念的競合の関係にある。,道路交通法64条，道路交通法118条1項1号，道路運送車両法（昭和44年法律68号による改正前のもの）58条，道路運送車両法（昭和44年法律68号による改正前のもの）108条1号，刑法54条1項
1455,51054,昭和47(あ)98,労働基準法違反,昭和48年7月24日,最高裁判所第三小法廷,決定,棄却,刑集　第27巻7号1357頁,大阪高等裁判所,,昭和46年12月13日,労働基準法（昭和四七年法律第五七号による改正前のもの）四二条、四五条に基づく労働安全衛生規則（昭和四五年労働省令第二一号による改正前のもの）六三条一項にいう「接触の危険」の意義,労働基準法（昭和四七年法律第五七号による改正前のもの）四二条、四五条に基づく労働安全衛生規則（昭和四五年労働省令第二一号による改正前のもの）六三条一項にいう「接触の危険」とは、その危険の発生が労働者の注意力の偏倚、疲労その他の原因による精神的弛緩、作業に対する不馴れ等による場合をも含め、労働者が作業の過程で接触して危害の発生する危険をいい、その危険が熟練した注意深い労働者からみて異常とみられる作業方法により、または、労働者の重大な過失により生じうるものであると否とを問わない。,労働基準法（昭和47年法律57号による改正前のもの）42条，労働基準法（昭和47年法律57号による改正前のもの）45条，労働安全衛生規則（昭和45年労働省令21号による改正前のもの）63条1項
1456,51055,昭和47(さ)4,沖縄の刑法の傷害被告事件についてした確定判決に対する非常上告,昭和48年3月8日,最高裁判所第一小法廷,判決,棄却,刑集　第27巻2号87頁,琉球政府の那覇簡易裁判所,,昭和45年10月23日,違法に累犯加重をした確定判決が刑訴法四五八条一号但書にいう「被告人のため不利益であるとき」にあたらないとされた事例,違法に累犯加重をした確定判決であつても、その認定した犯罪事実が受刑中に刑務所内で犯した傷害事犯（原判文参照）であり、誤つて累犯加重の理由とした前科が受刑中の殺人罪の前科で、言い渡された刑が懲役六月である場合においては、刑訴法四五八条一号但書にいう「原判決が被告人のため不利益であるとき」にあたらない。,刑訴法458条1号
1457,51056,昭和47(し)22,勾留理由開示請求事件の移送決定についての準抗告棄却決定に対する特別抗告,昭和47年4月28日,最高裁判所第三小法廷,決定,その他,刑集　第26巻3号249頁,金沢地方裁判所,,昭和47年4月10日,"一　簡易裁判所の裁判官が発した勾留状により勾留されている被疑者の事件が地方裁判所に起訴された場合と第一回公判期日前における勾留理由の開示をなすべき裁判官
二　特別抗告審において原決定後の事由により原決定が取り消された事例","一　簡易裁判所の裁判官が発した勾留状により勾留されている被疑者の事件が地方裁判所に起訴された場合には、第一回公判期日前における勾留理由の開示は、その地方裁判所の裁判官が行なうべきものである。
二　金沢地方裁判所裁判官がした本件勾留理由開示請求事件を金沢簡易裁判所に移送する旨の決定およびこれを是認した原決定（判文参照）は、いずれもその決定の時点においては正当であつたが、事件につき公訴が提起された現在においては、同簡易裁判所裁判官は、もはや本件勾留理由の開示をすることはできないから、いずれも刑訴法四一一条一号によりこれを取り消すべきである。",刑訴法82条，刑訴法280条，刑訴法433条，刑訴規則187条
1458,51057,昭和47(し)43,控訴棄却決定に対する異議申立棄却決定に対する特別抗告,昭和47年9月26日,最高裁判所第三小法廷,決定,その他,刑集　第26巻7号431頁,東京高等裁判所,,昭和47年7月7日,必要的弁護事件の控訴と刑訴法三八六条一項一号による決定棄却,いわゆる必要的弁護事件につき被告人が控訴した場合において、刑訴規則二五〇条により控訴の審判に準用される同規則一七八条三項の規定に違背して被告人に弁護人がないままであるときは、所定の期間内に控訴趣意書を差し出さないことに基づき刑訴法三八六条一項一号により決定で右控訴を棄却することは許されない。,刑訴法289条1項，刑訴法386条1項1号，刑訴規則178条
1459,51058,昭和47(し)51,付審判請求事件の裁判官忌避申立却下決定に対する即時抗告棄却決定に対する特別抗告,昭和47年11月16日,最高裁判所第二小法廷,決定,棄却,刑集　第26巻9号515頁,大阪高等裁判所,,昭和47年7月19日,付審判請求事件の審理方式と忌避事由,本件付審判請求事件の審理を担当する裁判所が示した審理方式（判文参照）は、裁量の許される範囲を逸脱している疑いを免れないけれども、そのことはただちに右裁判所を構成する裁判官らを忌避する事由とはなりえない。,刑訴法21条，刑訴法262条，刑訴法265条，刑訴規則173条
1460,51059,昭和47(し)57,刑の執行猶予言渡取消決定に対する即時抗告棄却決定に対する特別抗告,昭和47年12月26日,最高裁判所第三小法廷,決定,その他,刑集　第26巻10号759頁,東京高等裁判所,,昭和47年8月24日,不送達となつた特別送達を付郵便送達とすることにより執行猶予が取り消されたものとすることの可否,特別送達の方法により、執行猶予取消決定についての即時抗告棄却決定の謄本を、被請求人に送達する手続をとつたところ、それが執行猶予期間内に送達されなかつた場合において、右特別送達を付郵便送達とすることにより、有効に執行猶予が取り消されたものとすることはできない。,刑法26条の2，刑訴法54条，刑訴規則63条，民訴法162条，民訴法172条
1461,51060,昭和47(す)89,国家公務員法違反被告事件についてした裁判官忌避申立,昭和47年7月1日,最高裁判所大法廷,決定,却下,刑集　第26巻6号355頁,,,,"一　刑訴法二〇条六号にいう「裁判官が事件について検察官の職務を行つたとき」の意義
二　最高裁判所の裁判官がその任官前に憲法および法律の解釈上同種の論点を含む他の事件につき高等検察庁検事長として上告趣意書を提出したことと刑訴法二〇条六号の除斥原因および同法二一条一項の「不公平な裁判をする虞」
三　最高裁判所の裁判官がその任官前に最高検察庁次長検事の職にあり検察庁法所定の職務権限を有していたことと刑訴法二〇条六号の除斥原因および同法二一条一項の「不公平な裁判をする虞」","一　刑訴法二〇条六号にいう「裁判官が事件について検察官の職務を行つたとき」とは、裁判官がその任官前に、当該事件について、検察官としてある具体的な職務行為をした場合をいう。
二　最高裁判所の裁判官が、その任官前に高等検察庁検事長として、憲法および法律の解釈上本件と同種の論点を含む他の刑事被告事件について上告趣意書を提出したからといつて、本件につき裁判官が検察官の職務を行なつたときにはあたらない。また、同上告趣意書において本件と同種の論点に関する法律上の見解を明らかにしたからといつて、本件につき不公平な裁判をする虞れがあるときに該当するものとはいえない。
三　最高裁判所の裁判官が、その任官前に、最高検察庁次長検事の職にあり、検察庁法等所定の職務権限を有し、その在職の期間中に本件の論点と密接に関連する判旨をもつ上告審の諸裁判があつたとしても、本件につき具体的な職務行為をした事実が認められないかぎり、裁判官が検察官の職務を行なつたときにはあたらない。また、同裁判官が前記の期間次長検事の職務権限を有していたからといつて、本件につき不公平な裁判をする虞れがあるときに該当するものとはいえない。",刑訴法20条6号，刑訴法21条1項，検察庁法7条2項
1462,51061,昭和48(あ)1231,逮捕,昭和50年11月25日,最高裁判所第三小法廷,判決,破棄自判,刑集　第29巻10号928頁,東京高等裁判所,,昭和48年4月26日,他組合員に対する逮捕行為が刑法上の違法性に欠けるところはないとされた事例,争議参加中の労働組合員が数名共同で、他組合員を、会社警備員による妨害の及ばないところで説得するため、その者を約三〇メートル引きずり、更に引つ張つたり押すなどして二〇〇メートル余を強いて連行した逮捕行為（判文参照）は、法秩序全体の見地からみるとき、原判示の動機目的、その他諸般の事情に照らしても、刑法上の違法性に欠けるところはない。,刑法35条，刑法220条1項，労働組合法1条2項
1463,51062,昭和48(あ)1349,常習賭博,昭和48年10月23日,最高裁判所第三小法廷,決定,棄却,刑集　第27巻9号1435頁,札幌高等裁判所,,昭和48年5月22日,刑法二五条二項但書の法意,刑法二五条二項但書により再度の執行猶予が許されないのは、同項本文の執行猶予が保護観察つきであつて、その保護観察の期間内に罪を犯した場合に限られる。,刑法25条2項
1464,51063,昭和48(あ)1984,覚せい剤取締法違反、同幇助,昭和50年1月27日,最高裁判所第二小法廷,決定,棄却,刑集　第29巻1号22頁,東京高等裁判所,,昭和48年8月6日,覚せい剤の所持罪と覚せい剤原料の所持罪とが併合罪の関係にあるとされた事例,覚せい剤（粉末〇・四三七グラム）を自宅でテレビの上に置いて所持する罪と、覚せい剤原料（粉末〇・七六一二グラム）を自宅で着衣のポケットに入れて所持する罪とは、併合罪の関係にある。,覚せい剤取締法14条1項，覚せい剤取締法（昭和48年法律114号による改正前のもの）30条の7，覚せい剤取締法（昭和48年法律114号による改正前のもの）41条1項2号，覚せい剤取締法（昭和48年法律114号による改正前のもの）41条の4第1項3号，刑法45条
1465,51064,昭和48(あ)1997,尊属傷害致死,昭和49年9月26日,最高裁判所第一小法廷,判決,棄却,刑集　第28巻6号329頁,札幌高等裁判所,,昭和48年8月21日,刑法二〇五条二項と憲法一四条一項,尊属傷害致死に関する刑法二〇五条二項の規定は、憲法一四条一項に違反しない。,憲法14条1項，刑法205条
1466,51065,昭和48(あ)2716,国家公務員法違反,昭和52年12月19日,最高裁判所第二小法廷,決定,棄却,刑集　第31巻7号1053頁,大阪高等裁判所,,昭和48年10月11日,"一　国家公務員法一〇〇条一項にいう「秘密」の意義
二　国家公務員法一〇〇条一項にいう「秘密」にあたるとされた事例","一　国家公務員法一〇〇条一項にいう「秘密」とは、非公知の事項であつて、実質的にもそれを秘密として保護するに価すると認められるものをいい、国家機関が単にある事項につき形式的に秘扱の指定をしただけでは足りない。
二　大阪国税局が事業所得者に対する課税事務を行う際の推計等の資料とするため作成した本件「営業庶業等所得標準率表」及び「所得業種目別効率表」（原判文参照）は、国家公務員法一〇〇条一項にいう「秘密」にあたる。",国家公務員法100条1項，国家公務員法109条12号
1467,51066,昭和48(あ)526,詐欺,昭和52年12月22日,最高裁判所第一小法廷,判決,破棄差戻,刑集　第31巻7号1147頁,"名古屋高等裁判所
        　金沢支部",,昭和48年1月25日,上告の審判と刑訴法三九三条二項、三九七条二項の準用の有無,上告の審判には、刑訴法三九三条二項、三九七条二項は準用されない。,刑訴法393条2項，刑訴法397条2項，刑訴法414条
1468,51067,昭和48(あ)722,傷害,昭和50年4月3日,最高裁判所第一小法廷,判決,その他,刑集　第29巻4号132頁,仙台高等裁判所,,昭和48年3月6日,"一、現行犯逮捕のため犯人を追跡した者の依頼により追跡を継続した行為を適法な現行犯逮捕の行為と認めた事例
二、現行犯逮捕のための実力行使と刑法三五条
三、現行犯逮捕のための実力行使に刑法三五条が適用された事例","一　あわびの密漁犯人を現行犯逮捕するため約三〇分間密漁船を追跡した者の依頼により約三時間にわたり同船の追跡を継続した行為（判文参照）は、適法な現行犯逮捕の行為と認めることができる。
二　現行犯逮捕をしようとする場合において、現行犯人から抵抗を受けたときは、逮捕をしようとする者は、警察官であると私人であるとを問わず、その際の状況からみて社会通念上逮捕のために必要かつ相当であると認められる限度内の実力を行使することが許され、たとえその実力の行使が刑罰法令に触れることがあるとしても、刑法三五条により罰せられない。
三　あわびの密漁犯人を現行犯逮捕するため密漁船を追跡中、同船が停船の呼びかけに応じないばかりでなく、三回にわたり追跡する船に突込んで衝突させたり、ロープを流してスクリューにからませようとしたため、抵抗を排除する目的で、密漁船の操舵者の手足を竹竿で叩き突くなどし、全治約一週間を要する右足背部刺創の傷害を負わせた行為（判文参照）は、社会通念上逮捕をするために必要かつ相当な限度内にとどまるものであり、刑法三五条により罰せられない。",刑法35条，刑訴法212条，刑訴法213条
1469,51068,昭和48(あ)834,賭博開帳図利、同幇助,昭和48年11月9日,最高裁判所第二小法廷,判決,その他,刑集　第27巻10号1447頁,東京高等裁判所,,昭和48年3月27日,甲事件の裁判確定によりその本刑に法定通算されるべき未決勾留と重複する未決勾留を乙事件の本刑に算入することの適否,甲事件の裁判確定によりその本刑に法定通算されるべき未決勾留と重複する未決勾留を乙事件の本刑に算入しても、乙事件の裁判当時甲事件の裁判が未確定の状態であるときは、ただちにこれを違法なものとはいえないが、のちに甲事件の裁判が確定し法定通算されるべき未決勾留が、その本刑に通算されて刑の執行に替えられたときは、結局、違法なものとなる。,刑法21条，刑訴法495条
1470,51069,昭和48(あ)85,医師法違反、薬事法違反,昭和48年9月27日,最高裁判所第一小法廷,決定,棄却,刑集　第27巻8号1403頁,東京高等裁判所,,昭和47年12月6日,"一　医師法上診察にあたる事例
二　薬事法二四条一項にいう販売の意義","一　断食道場の入寮者に対し、いわゆる断食療法を施行するため入寮の目的、入寮当時の症状、病歴等を尋ねる行為（原判文参照）は、その者の疾病の治療、予防を目的とした診察方法の一種である問診にあたる。
二　薬事法二四条一項にいう販売とは、反覆継続して不特定または多数の者に対してなす意思のもとに医薬品を有償譲渡することを意味し、必ずしも営利の目的があることを要しない。",医師法17条，薬事法24条1項
1471,51070,昭和48(あ)910,集団行進及び集団示威運動に関する徳島市条例違反、道路交通法違反,昭和50年9月10日,最高裁判所大法廷,判決,破棄自判,刑集　第29巻8号489頁,高松高等裁判所,,昭和48年2月19日,"一　集団行進及び集団示威運動に関する条例（昭和二七年徳島市条例第三号）三条三号、五条と道路交通法七七条一項四号、三項、一一九条一項一三号、徳島県道路交通施行細則一一条三号との関係
二　刑罰法規があいまい不明確のゆえに憲法三一条に違反するかどうかの判断基準
三　集団行進及び集団示威運動に関する条例（昭和二七年徳島市条例第三号）三条三号の「交通秩序を維持すること」の意義とその犯罪構成要件としての明確性
四　集団行進及び集団示威運動に関する条例（昭和二七年徳島市条例第三号）三条三号、五条の集団行進者に交通秩序の維持に違反する行為をするようにせん動した所為と道路交通法七七条一項四号、三項、一一九条一項一三号、徳島県道路交通施行細則一一条三号の警察署長の付した道路使用許可条件に違反してだ行進をした所為との罪数","一　道路交通法七七条一項四号は、その対象となる道路の特別使用行為等につき、各地方公共団体が、条例により地方公共の安寧と秩序の維持のための規制を施すにあたり、その一環として、これらの行為に対し、道路交通法による規制とは別個に、交通秩序維持の見地から一定の規制を施すことを排斥する趣旨を含むものではなく、集団行進及び集団示威運動に関する条例（昭和二七年徳島市条例第三号）三条三号の規制と道路交通法七七条及びこれに基づく徳島県道路交通施行細則による規制とが一部重複しても、道路交通法による規制は条例の規制の及ばない範囲においてのみ適用されるものと解すべく、右条例三条三号、五条の規定が、道路交通法七七条一項四号、三項、一一九条一項一三号、徳島県道路交通施行細則一一条三号に違反するものではない。
二　刑罰法規があいまい不明確のゆえに憲法三一条に違反するかどうかは、通常の判断能力を有する一般人の理解において、具体的場合に当該行為がその適用を受けるものかどうかの判断を可能ならしめるような基準が読みとれるかどうかによってこれを決定すべきである。
三　集団行進及び集団示威運動に関する条例（昭和二七年徳島市条例第三号）三条三号が、集団行進等についての遵守事項の一として「交通秩序を維持すること」を掲げているのは、道路における集団行進等が一般的に秩序正しく平穏に行われる場合にこれに随伴する交通秩序阻害の程度を超えた、殊更な交通秩序の阻害をもたらすような行為を避止すべきことを命じているものと解され、このように解釈した場合、右規定は右条例五条の犯罪構成要件の内容をなすものとして憲法三一条に違反するような不明確性を有するものではない。
四　被告人が、先頭集団直近の隊列外に位置して、だ行進をしたり、笛を吹いたり、両腕を前後に振って合図する等して、集団行進者にだ行進をさせるよう刺激を与え、集団行進者がだ行進をするようせん動した場合において、集団行進及び集団示威運動に関する条例（昭和二七年徳島市条例第三号）三条三号、五条の集団行進者が交通秩序の維持に反する行為をするようにせん動した所為と、道路交通法七七条一項四号、三項、一一九条一項一三号、徳島県道路交通施行細則一一条三号の警察署長の付した道路使用許可条件に違反してだ行進をした所為とは、観念的競合の関係にある。",昭和27年徳島市条例3号（集団行進及び集団示威運動に関する条例）3条3号，昭和27年徳島市条例3号（集団行進及び集団示威運動に関する条例）5条，道路交通法77条1項4号，道路交通法77条3項，道路交通法119条1項13号，徳島県道路交通施行細則（昭和47年徳島県公安委員会規則1号による改正前のもの）11条3号，憲法31条，刑法54条1項前段
1472,51071,昭和48(あ)970,宅地建物取引業法違反,昭和49年12月16日,最高裁判所第二小法廷,決定,棄却,刑集　第28巻10号833頁,大阪高等裁判所,,昭和48年3月22日,宅地建物取引業法（昭和四六年法律第一一〇号による改正前のもの）一二条一項にいう「宅地建物取引業を営む」の意義,宅地建物取引業法（昭和四六年法律第一一〇号による改正前のもの）一二条一項にいう「宅地建物取引業を営む」とは、営利の目的で反復継続して行う意思のもとに宅地建物取引業法二条二号所定の行為をなすことをいう。,宅地建物取引業法2条2号，宅地建物取引業法（昭和46年法律110号による改正前のもの）3条1項，宅地建物取引業法（昭和46年法律110号による改正前のもの）12条1項，宅地建物取引業法（昭和46年法律110号による改正前のもの）24条2号
1473,51072,昭和48(さ)3,窃盗被告事件の判決に対する非常上告,昭和48年12月24日,最高裁判所第二小法廷,判決,破棄自判,刑集　第27巻11号1469頁,神戸簡易裁判所,,昭和48年8月2日,"一　刑訴法四五八条一号但書にいう「原判決が被告人のため不利益であるとき」の意義
二　少年に対し定期刑を科した原判決が刑訴法四五八条一号但書にいう「被告人のため不利益であるとき」にあたるとされた事例","一　刑訴法四五八条一号但書にいう「原判決が被告人のため不利益であるとき」とは、原判決の誤りを是正してあらたに言い渡すべき判決が、原判決より被告人に利益なことが法律上明白である場合をいう。
二　本件におけるように、少年である被告人に対し言い渡された原判決の刑が懲役八月の定期刑であり、あらたに言い渡すべき刑が懲役六月以上八月以下の不定期刑であるときは、刑訴法四五八条一号但書にいう「原判決が被告人のため不利益であるとき」にあたる。",刑訴法458条1号
1474,51073,昭和48(し)22,特別抗告棄却決定に対する異議申立棄却決定に対する特別抗告,昭和48年6月21日,最高裁判所第一小法廷,決定,棄却,刑集　第27巻6号1197頁,高松高等裁判所,,昭和48年3月7日,特別抗告についての上訴権回復請求を棄却する場合と特別抗告棄却の権能,特別抗告についての上訴権回復請求を受理した裁判所は、これを棄却する場合には、刑訴法三七五条、四一四条を類推適用して、右請求と同時にされた特別抗告の申立を自ら棄却することができる。,刑訴法362条，刑訴法363条，刑訴法375条，刑訴法414条，刑訴法433条
1475,51074,昭和48(し)66,裁判官忌避申立却下決定に対する即時抗告の決定に対する特別抗告,昭和48年10月8日,最高裁判所第一小法廷,決定,その他,刑集　第27巻9号1415頁,東京高等裁判所,,昭和48年7月31日,"一　審理の方法態度と裁判官忌避
二　裁判官の忌避申立につき簡易却下が相当であるとされた事例","一　訴訟手続内における審理の方法、態度などは、それ自体としては裁判官を忌避する理由となしえない。
二　公判期日前の打合せから第一回公判期日終了までの裁判長の訴訟指揮権、法廷警察権の行使の不当を理由とする忌避申立は、本件のような事情（判文参照）のもとにおいては、訴訟遅延のみを目的とするものとして、刑訴法二四条により却下すべきものである。",刑訴法21条1項，刑訴法24条
1476,51075,昭和48(し)7,刑の執行猶予言渡取消請求事件についてした即時抗告の棄却決定に対する特別抗告,昭和48年2月28日,最高裁判所第一小法廷,決定,棄却,刑集　第27巻1号80頁,東京高等裁判所,,昭和48年1月24日,刑の執行猶予の判決に対する控訴申立期間経過後で同判決の確定前に被告人に対する別事件についての禁錮刑（実刑）の裁判が確定した場合と刑の執行猶予言渡取消の可否,刑の執行猶予の判決に対し被告人のみが控訴し、この控訴申立期間経過後で同判決の確定前に、被告人に対する別件被告事件について禁錮刑（実刑）の裁判が確定した場合は、右刑の執行猶予の判決の確定をまつて刑法二六条三号により刑の執行猶予の言渡を取り消すことができる。,刑法26条，憲法39条
1477,51076,昭和48(す)244,裁判官忌避申立,昭和48年9月20日,最高裁判所第一小法廷,決定,却下,刑集　第27巻8号1395頁,最高裁判所,,,裁判官が任官前審理の対象となつている条例の立案過程において法務府法制意見第一局長として意見回答をしたことと刑訴法二一条一項の「不公平な裁判をする虞」,裁判官が、任官前、審理の対象となつている条例の立案過程において、当該条例案の合憲性に関する立案当事者の意見照会に対し、当時の法務府法制意見第一局長として純然たる法律解釈に関する意見回答をしたからといつて、事件につき裁判の公正を妨げるおそれがある予断または偏見があるものとすることはできない。,刑訴法21条1項
1478,51077,昭和49(あ)1161,賍物寄蔵、賍物故買、賍物収受,昭和50年6月12日,最高裁判所第一小法廷,決定,棄却,刑集　第29巻6号365頁,大阪高等裁判所,,昭和49年4月9日,保管の途中で賍物であることを知り保管を継続する場合と賍物の寄蔵,賍物であることを知らずに物品の保管を開始した後、賍物であることを知るに至つたのに、なおも本犯のためにその保管を継続するときは、賍物の寄蔵にあたる。,刑法256条2項
1479,51078,昭和49(あ)121,業務上過失致死,昭和49年4月19日,最高裁判所第二小法廷,決定,棄却,刑集　第28巻3号64頁,"広島高等裁判所
        　松江支部",,昭和48年12月24日,判決書に判決をした裁判官所属の官署である裁判所の表示がない違法と判決への影響の有無,判決書に判決をした裁判官所属の官署である裁判所の表示がない違法は、判決書に判決裁判所を構成した裁判官全員の署名押印があり、判決裁判所の特定に欠けるところがないときは、判決に影響を及ぼさない。,刑訴規則58条1項，刑訴法411条1号
1480,51079,昭和49(あ)1433,道路交通法違反,昭和49年11月28日,最高裁判所第二小法廷,決定,棄却,刑集　第28巻8号385頁,大阪高等裁判所,,昭和49年5月31日,"一　道路交通法六四条、一一八条一項一号の無免許運転の所為とその運転中に行われた同法二二条一項、一一八条一項二号、同法施行令一一条一号の速度違反の所為との罪数
二　時間的に接近した二個の道路交通法二二条一項、一一八条一項二号、同法施行令一一条一号の速度違反の事実が併合罪とされた事例","一　道路交通法六四条、一一八条一項一号の無免許運転の所為とその運転中に行われた同法二二条一項、一一八条一項二号、同法施行令一一条一号の速度違反の所為とは、併合罪の関係にある。
二　被告人が、昭和四八年八月二一日午前六時二四分ころ法定の最高速度をこえる九〇キロメートル毎時の速度で軽四輪自動車を運転し、速度違反の取締りにあたつていた警察官に現認されて停止を求められ、一旦減速して徐行状態となつたが、自己の無免許運転の事実が発覚することをおそれて加速して逃走し、同日午前六時三〇分ころ法定の最高速度をこえる一〇二キロメートル毎時の速度で同自動車を運転した場合には、二個の速度違反の罪が別個独立に成立する。",道路交通法22条1項，道路交通法64条，道路交通法118条1項1号，道路交通法118条1項2号，道路交通法施行令11条1号，刑法45条
1481,51080,昭和49(あ)1513,森林法違反,昭和50年3月20日,最高裁判所第一小法廷,決定,棄却,刑集　第29巻3号53頁,高松高等裁判所,,昭和49年5月30日,森林法一九七条にいう産物の意義,森林法一九七条にいう産物とは、無機物たると有機物たるとを問わず、森林から産出する一切の物をいい、岩石もこれに含まれる。,森林法197条，森林法198条，刑法235条
1482,51081,昭和49(あ)1563,水道損壊,昭和50年8月6日,最高裁判所第一小法廷,判決,棄却,刑集　第29巻7号393頁,大阪高等裁判所,,昭和49年6月12日,憲法三七条一項の迅速な裁判の保障条項に反する異常な事態が生じていないものとされた事例,主として、裁判所の構成の度重なる変更、負担過重等により、第一次控訴審において四年、第二次控訴審において三年七月の審理中断を生じたが、他方、被告人側から審理促進を求める積極的な申し出もなく、右の審理中断が事実取調のほとんど終了した控訴審段階において生じたもので被告人の防禦権の行使に特に障害を生じたものとも認められない等の事情のある本件においては（判文参照）、いまだ憲法三七条一項に定める迅速な裁判の保障条項に反する異常な事態に立ち至つたものとはいえない。,憲法37条1項
1483,51082,昭和49(あ)1618,業務上過失傷害,昭和50年9月11日,最高裁判所第一小法廷,決定,棄却,刑集　第29巻8号576頁,福岡高等裁判所,,昭和49年6月4日,"一　道路交通法三六条二項にいう明らかに幅員の広い道路の意義
二　交差点において赤色の燈火の点滅信号を表示する道路を進行する車両の運転者の注意義務","一　道路交通法三六条二項にいう明らかに幅員の広い道路とは、交差点を挟む前後を通じて、交差点を挟む左右の交差道路のいずれと比較しても明らかに幅員の広い道路をいい、その一方のみと比較して明らかに幅員の広い道路は含まない。
二　赤色の燈火の点滅信号を表示する道路を進行する車両の運転者は、交差道路が黄色の燈火の点滅信号を表示している交差点においては、所定の停止位置で一時停止し、再度発進して交差点に進入するにあたっては、交差道路上の交通の安全を確認し、接近してくる車両との衝突の危険を回避するためその進行妨害を避けるなど所要の措置をとるべき注意義務がある。",道路交通法36条2項，刑法211条，道路交通法施行令2条1項
1484,51083,昭和49(あ)1709,公職選挙法違反,昭和52年2月24日,最高裁判所第一小法廷,判決,破棄自判,刑集　第31巻1号1頁,仙台高等裁判所,,昭和49年5月14日,"一、推薦候補者決定の事実を団体構成員に伝達する行為と公職選挙法一六六条にいう「選挙運動のためにする演説との関係
二、公職選挙法一六六条の規定に違反した演説が同法二四三条一〇号の罪の違法性に欠けるとろこがないとされた事例
三、公職選挙法一四二条一項の規定に違反した文書の頒布が同法二四三条三号の罪の違法性に欠けるところがないとされた事例","一　推薦候補者決定の事実を団体構成員に伝達するための演説は、それが内部行為に止まるなど特別の事情のない限り、公職選挙法一六六条にいう選挙運動のためにする演説にあたる。
二　衆議院議員総選挙に際し、特定の候補者に当選を得させる目的で、地方公共団体の所有するスポーツセンター建物内において開催された市役所職員家族慰安会午前の部の席上で、約六〇〇〇名の入場者に対し挨拶をした際、「市労連が甲候補を推薦しているのでよろしくお願いする」旨の演説をした行為（判文参照）、及び同慰安会午後の部の席上で、約五〇〇〇名の入場者に対し挨拶をした際、同趣旨の演説をした行為（判文参照）は、いずれも公職選挙法二四三条一〇号の罪の違法性に欠けるところはない。
三　衆議院議員総選挙に際し、特定の候補者に当選を得させる目的で、市役所職員家族慰安会に入場しようとする者に対し、同選挙における市労連の推薦候補者甲に投票を求める趣旨の文章を含めて印刷記載した法定外文書を一枚ずつ、合計五〇〇〇枚頒布した行為（判文参照）は、公職選挙法二四三条三号の罪の違法性に欠けるところはない。",公職選挙法142条1項，公職選挙法166条，公職選挙法243条3号，公職選挙法243条10号
