行番号,ID,事件番号,事件名,裁判年月日,法廷名,裁判種別,結果,判例集等巻・号・頁,原審裁判所名,原審事件番号,原審裁判年月日,判示事項,裁判要旨,参照法条
28627,82949,平成20(あ)909,横領，傷害致死，逮捕監禁，殺人被告事件,平成24年12月11日,最高裁判所第三小法廷,判決,棄却,集刑　第309号77頁,東京高等裁判所,,平成20年4月21日,死刑の量刑が維持された事例（山梨の２名殺害等事件）,,
28628,82950,平成22(あ)2003,死体損壊，死体遺棄，殺人被告事件,平成24年12月14日,最高裁判所第二小法廷,判決,棄却,集刑　第309号205頁,東京高等裁判所,,平成22年10月8日,死刑の量刑が維持された事例（フィリピン人女性殺人等事件）,,
28629,82952,平成23(あ)494,住居侵入，強盗殺人被告事件,平成24年12月17日,最高裁判所第三小法廷,決定,棄却,集刑　第309号213頁,大阪高等裁判所,,平成23年2月24日,強盗殺人事件等に関する無期懲役の確定裁判のある被告人が，同事件の１３日後に犯した被殺者１名の住居侵入，強盗殺人の事案（確定裁判の余罪）につき，無期懲役の量刑が維持された事例,,刑法9条，刑法50条，刑法240条，刑訴法411条2号
28630,83008,平成23(あ)1789,住居侵入，窃盗，現住建造物等放火，窃盗未遂被告事件,平成25年2月20日,最高裁判所第一小法廷,決定,棄却,刑集　第67巻2号1頁,"広島高等裁判所
        　岡山支部",平成23(う)13,平成23年9月14日,"１　前科に係る犯罪事実及び前科以外の他の犯罪事実を被告人と犯人の同一性の間接事実とすることの許否
２　前科に係る犯罪事実及び前科以外の他の犯罪事実を被告人と犯人の同一性の間接事実とすることが許されないとされた事例","１　前科に係る犯罪事実や前科以外の他の犯罪事実を被告人と犯人の同一性の間接事実とすることは，これらの犯罪事実が顕著な特徴を有し，かつ，その特徴が証明対象の犯罪事実と相当程度類似していない限りは，許されない。
２　前科に係る住居侵入，窃盗，現住建造物等放火等の犯罪事実及び前科以外の他の住居侵入，窃盗等の犯罪事実を，証明対象の住居侵入，窃盗，窃盗未遂，現住建造物等放火の犯人と被告人の同一性の間接事実とすることは，これらの犯罪事実に顕著な特徴があるとはいえないなどの事情（判文参照）の下では，被告人に対して実証的根拠の乏しい人格的評価を加え，これをもとに犯人が被告人であるという合理性に乏しい推論をすることにほかならず，許されない。
（１，２につき補足意見がある。）",(１，２につき）　刑訴法317条
28631,83014,平成23(受)1644,道路通行権確認等請求事件,平成25年2月26日,最高裁判所第三小法廷,判決,破棄差戻,民集　第67巻2号297頁,名古屋高等裁判所,平成22(ネ)1094,平成23年5月19日,通行地役権者が承役地の担保不動産競売による買受人に対し地役権設定登記がなくとも通行地役権を主張することができる場合,通行地役権の承役地が担保不動産競売により売却された場合において，最先順位の抵当権の設定時に，既に設定されている通行地役権に係る承役地が要役地の所有者によって継続的に通路として使用されていることがその位置，形状，構造等の物理的状況から客観的に明らかであり，かつ，上記抵当権の抵当権者がそのことを認識していたか又は認識することが可能であったときは，通行地役権者は，特段の事情がない限り，登記がなくとも，買受人に対し，当該通行地役権を主張することができる。,民事執行法59条2項，民事執行法188条，民法177条，民法280条
28632,83023,平成23(受)2094,根抵当権設定登記抹消登記手続請求本訴，貸金請求反訴事件,平成25年2月28日,最高裁判所第一小法廷,判決,その他,民集　第67巻2号343頁,札幌高等裁判所,平成22(ネ)592,平成23年7月8日,"１　既に弁済期にある自働債権と弁済期の定めのある受働債権とが相殺適状にあるというための要件
２　時効によって消滅した債権を自働債権とする相殺をするために消滅時効が援用された自働債権がその消滅時効期間経過以前に受働債権と相殺適状にあったことの要否","１　既に弁済期にある自働債権と弁済期の定めのある受働債権とが相殺適状にあるというためには，受働債権につき，期限の利益を放棄することができるというだけではなく，期限の利益の放棄又は喪失等により，その弁済期が現実に到来していることを要する。
２　時効によって消滅した債権を自働債権とする相殺をするためには，消滅時効が援用された自働債権は，その消滅時効期間が経過する以前に受働債権と相殺適状にあったことを要する。",(１，２につき)民法505条1項　（１につき）民法136条　（２につき）民法145条，民法508条
28633,83030,平成21(あ)994,傷害致死，殺人，死体遺棄，傷害，逮捕監禁致傷，逮捕監禁，監禁被告事件,平成25年1月29日,最高裁判所第三小法廷,判決,棄却,集刑　第310号1頁,東京高等裁判所,,平成21年3月19日,死刑の量刑が維持された事例（架空請求詐欺グループ仲間割れ殺人等事件）,,
28634,83033,平成22(あ)1632,詐欺被告事件,平成25年2月26日,最高裁判所第三小法廷,決定,棄却,刑集　第67巻2号143頁,東京高等裁判所,平成21(う)1856,平成22年8月4日,公判調書中の被告人供述調書に添付されたのみで証拠として取り調べられていない電子メールが独立の証拠又は被告人の供述の一部にならないとされた事例,被告人質問において被告人に示され，公判調書中の被告人供述調書に添付されたが，これとは別に証拠として取り調べられていない本件の電子メールは，その存在及び記載が記載内容の真実性と離れて証拠価値を有するものであり，被告人に対してこれを示して質問をした手続に違法はなく，被告人がその同一性や真正な成立を確認したとしても，独立の証拠又は被告人の供述の一部となるものではない。,刑訴法317条，刑訴規則49条，刑訴規則199条の10，刑訴規則199条の11
28635,83034,平成21(あ)995,傷害致死，殺人，死体遺棄，逮捕監禁致傷，逮捕監禁，監禁，組織的な犯罪の処罰及び犯罪収益の規制等に関する法律違反被告事件,平成25年1月29日,最高裁判所第三小法廷,判決,棄却,集刑　第310号117頁,東京高等裁判所,,平成21年5月12日,死刑の量刑が維持された事例（架空請求詐欺グループ仲間割れ殺人等事件）,,
28636,83047,平成23(受)1493,損害賠償請求事件,平成25年3月7日,最高裁判所第一小法廷,判決,破棄自判,集民　第243号51頁,福岡高等裁判所,平成20(ネ)658,平成23年4月27日,銀行と顧客との間で固定金利と変動金利を交換してその差額を決済するという金利スワップ取引に係る契約を締結した際に銀行に説明義務違反があったとはいえないとされた事例,"銀行と顧客企業との間で，変動金利が上昇した際のリスクヘッジのため，同一通貨間で，一定の想定元本，取引期間等を設定し，固定金利と変動金利を交換してその差額を決済するという金利スワップ取引が行われた場合において，次の(1)〜(3)など判示の事情の下では，上記取引に係る契約締結の際，銀行が，顧客に対し，中途解約時の清算金の具体的な算定方法等について十分な説明をしなかったとしても，銀行に説明義務違反があったということはできない。
(1)　上記取引は，将来の金利変動の予測が当たるか否かのみによって結果の有利不利が左右される基本的な構造ないし原理自体が単純な仕組みのものであって，企業経営者であれば，その理解が一般に困難なものではない。
(2)　銀行は，顧客に対し，上記取引の基本的な仕組み等を説明するとともに，変動金利が一定の利率を上回らなければ，融資における金利の支払よりも多額の金利を支払うリスクがある旨を説明した。
(3)　上記契約の締結に先立ち銀行が説明のために顧客に交付した書面には，上記契約が銀行の承諾なしに中途解約をすることができないものであることに加え，銀行の承諾を得て中途解約をする場合には顧客が清算金の支払義務を負う可能性があることが明示されていた。",民法709条
